"ID"	"Translation"
"147573"	"ডয়াবীতুসের রোগীর প্রচন্ড পিপাসা পায় ৷"
"147574"	"কুমার উর্দু, হিন্দি, পশতো, পাঞ্জাবি, মারাঠি, ইংরেজি, বাংলা, গুজরাটি, হিন্দকো, ভোজপুরী, ফার্সি এবং আওয়াধী উপভাষায় সাবলীল ছিলেন।"
"147575"	"বড়খল ঝিলে নৌকাবিহার এবং মাছ ধরার জন্য সুবিধা আছে ।"
"147576"	"ভাবনগর শহর পর্যটকদের আকর্ষণ করে ৷"
"147577"	"পুরো তাবাঙ্গ ঘাট মহায়ান বৌদ্ধ মঠের সুন্দর দৃশ্য আপনি দেখতে পারেন ৷"
"147578"	"ফিজিওথেরাপি ৩ভাবে করা হয় ৷"
"147579"	"আপনার সঙ্গে খরচ ভাগ করতে ইচ্ছুক অন্যান্য পরিবারকে একই বয়সের শিশুদের সঙ্গে বিবেচনা করুন।"
"147580"	"দক্ষিণেশ্বর মন্দিরের নির্মাণ ১৮৪৭ সালে শুরু হয় ।"
"147581"	"যদি বাস্তবায়িত হয়, তাহলে অনুষ্ঠানের লক্ষ্য উন্নত উদ্ভিদ বৈচিত্র্যের জন্য প্রানীর্য খুলে যাবে।"
"147582"	"তার বাবা বিবাহের প্রস্তাবও প্রত্যাখ্যান করেন।"
"147583"	"দুটি বিনিময় বিয়ে পতিতালয়ে বৈধ অনুষ্ঠানে হয়।"
"147584"	"বাস্তবে ‘ নাট্য শাস্ত্র ’ সঙ্গীত - গ্রন্থ নয় বরং এর শেষ ছটা অধ্যায় সংগীত শাস্ত্রের ব্যাখ্যা ৷"
"147585"	"দুপুরের পর আমাদের বাদুরে যেতে হত ।"
"147586"	"এই শান্ত শহরে যাওয়ার পথে গাড়ি চালিয়ে যান কিন্তু পন্ডিচেরির নিকটতম বিমানবন্দরগুলি চেন্নাই বা তিরুচিরাপেল্লিতে নামুন।"
"147587"	"আমি আজ রাতে শহরে কি করতে পারি"
"147588"	"১৮শ শতকের শেষে নির্মিত, গির্জাটি এখনও পুরানো আচার অনুসরণ করে এবং চ্যাপেলের ভিতরে ক্রিষ্টের কোনও মূর্তি নেই, ক্রস সংরক্ষণ করে।"
"147589"	"৪০ লাখ লিটার ( প্রতিদিন ) গরম ( ৫১ ডিগ্রি সেলসিয়াস পর্যন্ত ) তাদের মধ্যে বের হওয়া জল গোটা শহরে ৩০ ছোট বড় থেরমল পুল পর্যন্ত পৌঁছানো হয় , কিছু পুল পাঁচটি স্টার হোটেলের মধ্যে আর অন্যটি বিভিন্ন আয় গোষ্ঠীর লোকেদের পকেট অনুসারে ৷"
"147590"	"বর্ষার সময় যখন উপত্যকাটি একটি মনোরম হ্রদ গঠন করে, তখন এই জায়গাটি প্রকৃতির আরেকটি অথচ সুন্দর ঝলমল করে।"
"147591"	"সামাজিক সভা , সভা , লোকেদের দল আর অন্য পরিস্থিতিয় যাওয়ার ভয়কে সামাজিক ফোবিয়া বলা হয় ৷"
"147592"	"ইহুদি কোলোনির সন্নিধানে, ১৬শ শতাব্দীতে নির্মিত বিখ্যাত বৈপিনকোট্টা সেমিনারী পর্তুগীজরা অবশেষে দাঁড়িয়ে আছে সেমিনারির ধ্বংসাবশেষ এখনও দেখা যায়।"
"147593"	"আমি এই সপ্তাহান্তে বহির ফিল্ম স্ক্রিনিং এ যেতে চাই আমাকে মনে করিয়ে দিন"
"147594"	"শিশুদের জন্য প্রোটিন সমৃদ্ধ খাদ্য এবং শিল্পে বিভিন্ন আ্যন্টিবায়োটিকের উৎপাদনের জন্য সয়াবিনের ব্যবহার হয়।"
"147595"	"এই প্রয়োজনীয় স্টক ১.১২ কোটি টনের তুলনায় অনেক।"
"147596"	"খুনী ববাসীরে জুড়ুল খুব যন্ত্রনাদায়ক ৷"
"147597"	"যার ভিত্তিতে তারা বিভিন্ন লব্বী আর রুচি মূল্য অর্জন করার কৌশলকে অস্বীকার করতে সফল হতে পারে ৷"
"147598"	"যেমন মনে করা হয় ঘুমের নিম্নলিখিত উপকার ৷"
"147599"	"পা অক্ষম হলে তাকে নিম্ন স্কেলিটানের বাধার শিকার বলে মনে করা হয় ।"
"147600"	"উল্লিখিত নি.এম.এইচ ব্যাটারি (বিশেষত নতুনদের) কোনও স্মৃতি নেই এবং যে কোনও সময়ে চার্জ করা যেতে পারে।"
"147601"	"কোনও ক্রীড়া বা কার্যকলাপকে জোর দেবেন না- এবং তাদের খুঁজে সাহায্য করুন যে তারা কী উপভোগ করে এবং তারপর তাদের প্রচেষ্টায় সমর্থন করে।"
"147602"	"এই কর্মসূচীটি বিভিন্ন রাজ্যের দ্বারা পরিচালিত কৃষি প্রকল্পের একটি সরাসরি তহবিলযুক্ত উপাদান ম্যাক্রো ম্যানেজমেন্ট।"
"147603"	"কোট্টায়াম থেকে ১০.৩০ মিনিট এবং এর্নাকুলাম থেকে ৯.৩০ बजे রামক্কলমেডুর জন্য বাস যায় ৷"
"147604"	"আয়ুর্বেদ গবেষণা কেন্দ্রে ঔষধীয় গাছের বিশাল সংগ্রহ আছে ৷"
"147605"	"মল দুর্গন্ধযুক্ত হয় ৷"
"147606"	"এক্স-রে একটি কম খরচের প্রাথমিক বিকল্প যা রোগীদের জন্য দেওয়া হয় সংক্রামন বা ম্যালিগনেন্সির অপসারণ এবং ব্যাখ্যার জন্য ল্যাবরেটরির গবেষণার সাথে।"
"147607"	"সাধারণত, আপনি যে নথি চান এবং আপনি চান তার কারণ সম্পর্কে যতটা সম্ভব নির্দিষ্ট থাকুন।"
"147608"	"তিনি ১৯৯৬ সালে বেশ কয়েকটি মালয়ালম চলচ্চিত্রে অভিনয় করেছিলেন: দ্য প্রিন্স, ইন্দ্রপ্রস্তম এবং ওরু ইয়াথ্রামোঝি, যার শেষটি ১৯৯৭ সালে মুক্তি পায়।"
"147609"	"ঢাকায় বর্তমান সময় কত"
"147610"	"নিজের স্ত্রীর সংগীতের ভক্তিতে শ্রী চৌধরী বেশ যোগদান করেছিলেন ৷"
"147611"	"তবে, ক্লাব প্রাথমিকভাবে ফুটবলের কোড খেলে: শেফিল্ড নিয়ম।"
"147612"	"কমনওয়েলথ অফ নেশনস এবং অন্য কোথাও ক্রিকেটের জনপ্রিয় সংস্কৃতিতে ব্যাপক প্রভাব রয়েছে।"
"147613"	"জৈনদের জন্য এটা হল পবিত্র তীর্থ , যা দর্শন করে নিজের বিশেষ গুরুত্ব রাখে ৷"
"147614"	"অস্ট্রেলিয়ার অবস্থান খুবই সুন্দর আর এখানকার বিচে আরাম পাওয়া যায় ৷"
"147615"	"উটকমণ্ড যা হল মদুমলয় রাষ্ট্রীয় উদ্যানের প্রধান রেল স্টেশন , সেখান থেকে ৬৪ কিলোমিটার দূরে অবস্থিত রয়েছে ।"
"147616"	"প্রবেশ দ্বারে তৈরি ঋষিমুখ কৌতুহলের কারণ হয় ।"
"147617"	"আজমেরের বাসস্ট্যান্ডটি আরটিডিসি হোটেল খদিমের কাছে অবস্থিত এবং রেলপথ উত্তরে এবং বেশিরভাগ হোটেল স্টেশনের পশ্চিমে অবস্থিত।"
"147618"	"নিজের সৌন্দর্যের ফলে কাশ্মীরকে ` ইস্টের সুইজারল্যাণ্ডও ` বলা হয় ৷"
"147619"	"মন্ডী হাউসের নীতি এমন হতে লেগেছিল যে অনুষ্ঠানের ‘ ``পাইলটের ’ ওপর ভিত্তি করে আমরা তৈরি করার অনুমতি তো দিয়ে দেব কিন্তু তোমাদেরকে প্রযোজক নিজেই খুঁজতে হবে ৷"
"147620"	"এর মধ্যে রয়েছে অমরাবতী নদীর তলদেশ থেকে আবিষ্কৃত বেশ কয়েকটি মুদ্রিত মুদ্রা।"
"147621"	"এই পদ্ধতিতে কার্বন দ্রাবক যেমন বেঞ্জেন , মেথানল , এসিটোন , পেট্রোলিয়াম এবং ইথার ইত্যাদি ব্যবহার করা হয় ৷"
"147622"	"এ ছাড়া পশুরা নিজেদের গোবর কম্পোস্টের দ্বারা মাটিকে উর্বর করে তথা ত্বক ও চামড়াও প্রদান করে ৷"
"147623"	"বজ্রাসন হল খাওয়ার পরেই একমাত্র আসন ৷"
"147624"	"এক টমেটোয় আয়রনের মাত্রা আমাদের শরীরের পক্ষে অনুকূল হয় ৷"
"147625"	"১৯০৬ সালে শ্রী ভরক্যাম্প এই স্টোর পর্যটকদের জন্য খুলেছিলেন ৷"
"147626"	"পরিবারকে ইমেইল পাঠান যে আমি তোমাকে ভালোবাসি"
"147627"	"ন্যাশানাল ইনস্টিটিউট অফ কমিউনিকেবল ডিজিজ (এন আই সি ডি) নির্ভর করে দীর্ঘস্থায়ী আর্থিক এপিডেমিয়া তত্বিক সরঞ্জাম তৈরির কাজ যা সংক্রামক রোগের নিয়ন্ত্রনে কার্যকরীভাবে প্রয়োগ করা যেতে পারে।"
"147628"	"আপনি কি আমার পছন্দের অডিও বইটি চালাতে পারেন"
"147629"	"যদি চোখে রঙ চলে যায় , তাহলে তত্কালীন বা স্থায়ী অবস্থা তৈরি করতে পারে ৷"
"147630"	"চোল যুগের ভাস্কর্য এবং ব্রোঞ্জের জন্যও উল্লেখযোগ্য।"
"147631"	"ভীমপুর থেকে ৫০ কিমি দূরে, ঘন সবুজ বনের মধ্যে তাপ্তপানি যেখানে গরম জলের ঝর্ণা রয়েছে।"
"147632"	"তিনি ব্যাখ্যা করেন যে, বিদেশে বসবাসকারী হয়ে তাঁর জীবনযাত্রা পরিবর্তিত হয়েছে এবং রানির রক্ষণাবেক্ষণের অভ্যাস তাঁর জন্য একটি ভুল ম্যাচ হবে।"
"147633"	"কলেরাতে , অন্ত্র জ্বর ইত্যাদি এমন অবস্থা প্রায়ই দেখা যায় ৷"
"147634"	"এর দ্বিতীয় এবং সর্বশেষ মরশুমে, ডব্লিউ.এফ.এল একটি স্থির ক্রেডিট রেটিং প্রতিষ্ঠার চেষ্টা করেছিল, কিন্তু মরশুম শেষ হওয়ার আগে লীগটি ভেঙে পড়েছিল।"
"147635"	"সুন্দর গানের কথা"
"147636"	"বিট ও পালং-এর প্রচুর পরিমাণে প্রাকৃতিকভাবে-অঙ্কুরিত নাইট্রেট থাকে যা শিশুর হেমোগ্লোবিনের অক্সিজেন পরিবহণে ক্ষমতা কমিয়ে দেয়।"
"147637"	"খেলাধূলার গতির মতো তার লেখায় গতিশীল হওয়া উচিত ।"
"147638"	"যখন প্রথম মুক্তি পায়, শোলে নেতিবাচক সমালোচনামূলক পর্যালোচনা এবং একটি টেপিড বাণিজ্যিক প্রতিক্রিয়া পেয়েছিলেন, তবে সুস্পষ্ট শব্দ-অফ-মৌথ জনতা এটিকে বক্স অফিসে সাফল্য অর্জন করতে সহায়তা করেছিল।"
"147639"	"জিকা প্রাথমিকভাবে মহিলা এডিস এজিপ্টি মশা দ্বারা ছড়ায়, যা বেশিরভাগ দিনের মধ্যে সক্রিয়।"
"147640"	"রাজীবকে ইমেইল পাঠান"
"147641"	"শোনার জন্য এর কোনও লাভ নেই ৷"
"147642"	"অাজোয়ানের চাষ সব ধরনের মাটিতেই করা যেতে পারে ৷"
"147643"	"রনি মনে রাখবেন যখন নেহা তাকে বলেছিলেন যে সে শেখরকে বিয়ে করতে হয়েছিল এবং তিনি এবং নেহা प्यार করতে শেষ করেন।"
"147644"	"যদি তুমি অ্যাশমিয়ার করা 'সাধুস' তারকাযুক্ত ডাকতে দেখাও তাহলে ভয় পাবেন না।"
"147645"	"পরিবর্তে, কেবল জিজ্ঞাসা করুন যে তাদের একটি আর্থিক বিশ্লেষক রয়েছে কিনা যে তারা সুখী এবং তারা আরামদায়ক পরামর্শ অনুভব করে।"
"147646"	"প্রস্তুত এবং প্যাকেটেড খাবারে তাদের ব্যাপক ব্যবহারের কারণে চীনাবাদামের বাধা খুব কঠিন।"
"147647"	"সি.টি.এস এবং আই.এম.এন.সি.টি সহ অন্যান্য কারণগুলির সংগঠন উল্লেখযোগ্য বিতর্কের উৎস।"
"147648"	"সামগ্রিক ফার্ম কৌশলের অংশ হিসাবে খড় নির্মাণের পরিকল্পনা করার সময়, বিকল্প, যা ওজন হ্রাস গ্রহণ থেকে খাদ্য কেন্দ্রীভূত হতে পারে, তা বিবেচনা করা উচিত।"
"147649"	"অমজাদ খান পরে তাঁর কর্মজীবনে অনেক খলনায়ক চরিত্রে অভিনয় করেন।"
"147650"	"৪ রাস্তাটি নীচের দিকের রাস্তাটি হুকুমাতাপান্থা অমাত্যের সমাধিতে নিয়ে যায় এবং তার স্ত্রীর, তিনি ঐরাথা রাজাদের দ্বারা প্রতিষ্ঠিত স্বরাজ্যকে ধরে রাখার জন্য গুরুত্বপূর্ণ অভিজাতদের মধ্যে একটি হয়ে উঠেছিলেন।"
"147651"	"আজ বোটক্সের আবিষ্কারের পরও এই পদ্ধতি পুরানো হয়ে গেছে ৷"
"147652"	"আয়ুর্বেদে কীটকে খুব উপকারী বলা হয়েছে ৷"
"147653"	"শিলা নির্মিত এই মন্দির হল মন্দির বাস্তুকলার সুন্দর নমুনা ।"
"147654"	"এই নামে এলিফ্যান্টা পরিচিত হয় কেবলমাত্র পর্তুগীজরা এই দ্বীপের তীরে হাতির বিশাল পাথরের ভাস্কর্যে এসে এলিফান্টা দ্বীপ নামে পরিচিত।"
"147655"	"দূষিত পাতা হঠাত্ করে শুকিয়ে যায় , যার ফলে মৌলকাণ্ডের বিকাশ এবং ফসল দুই প্রভাব পড়ে ৷"
"147656"	"পুরাণ আর পুরাণের উপর আধারিত এই ধরণের অনুষ্ঠানের বন্যা আবির্ভাব হল যা দুর্দান্ত এবং অবিশ্বাস্য চিন্তাধারার কাজ করত ।"
"147657"	"নাগুনুর দুর্গ কাকাতিয়া রাজবংশ দ্বারা নির্মিত একটি দুর্গ ছিল।"
"147658"	"রাহুলের কাছ থেকে সাম্প্রতিক ইমেইল প্রদর্শন করুন"
"147659"	"বেশিরভাগ বালির টিলা জয়সলমেরের আশেপাশে অবস্থিত।"
"147660"	"গ্রীক থিয়েটারে দর্শকদের বসার জন্য অর্ধেক চাঁদের আকৃতির সিঁড়ি বানানো হয় আর থিয়েটার নীচে রয়েছে ।"
"147661"	"শুষ্ক চুলকানির জন্য এই ওষুধ হল খুবই উপকারী ৷"
"147662"	"ক্রু সুস্পীষণ যাতে সম্পুর্ণ তথ্যের ব্যাপারে সচেতন হয়ে সত্যের ব্যাপারে সে নিঃসন্দেহে নিজের সন্দেহের উপর অপ্রয়োজনীয় হয়ে থাকে ।"
"147663"	"যদি না হয়, তাহলে আপনি কোথায় ভেসেছেন?"
"147664"	"আপনি রোমান লন্ডনের শখও দেখতে পারেন, যা ৬১ খ্রীষ্টাব্দে বুডিকা দ্বারা পুড়ে গিয়েছিল।"
"147665"	"একটা স্টেক কিভাবে কেন?র তাপে রান্না করেন?"
"147666"	"পরিস্থিতি গুরুতর হয়ে গেলে দ্রুত শ্বাস , সর্দি - কাশি , ঘাম হওয়া , বুকের গতি বেড়ে যাওয়া , পেট ব্যাথা , মুখ শুকিয়ে যাওয়া ইত্যাদি লক্ষণ দেখা যায় ৷"
"147667"	"ডায়েরির ভেদ হল এই।"
"147668"	"বৃহস্পতিবার একটি এসিলা ট্রেনের টিকিট কিনুন"
"147669"	"আশ্চর্যজনক কথা হল যে মণ্ডদীপ এই শখকে এক সময় নিয়েছিলেন যখন এর জন্য পরিবেশ এত উপযুক্ত ছিল না ৷"
"147670"	"রোগীর ধাতু গ্রাফাইটিস হলে গ্র্যাফাইটিস বেশি কার্যকরী হয় ৷"
"147671"	"যখন রাজারাম প্রত্যাখ্যান করেন, তখন ১৭৫০ খ্রিষ্টাব্দের ২৪ নভেম্বর তিনি সাতারায় একটি দণ্ডারে তাঁকে কারারুদ্ধ করেন।"
"147672"	"বয়স্ক রোগীদের মধ্যে ২৫ থেকে ৩০% অস্থির বায়োপ্সিতে অস্টিওমালাসিয়া দেখা গেছে যারা স্ক্যান্ডিনাভিয়া এবং গ্রেট ব্রিটেনে হিপ ফ্র্যাকচার আক্রান্ত হয়েছে।"
"147673"	"টাইমস অফ ইন্ডিয়া দিল্লি सफारीকে ৩ তারা দিয়েছেন।"
"147674"	"खूनী সরসাম রোগে রোগীর চোখে লালচেভাব দেখা যায় ৷"
"147675"	"এটা আনন্দে পান আর ভগবানের উপহার গ্রহণ করুন ৷"
"147676"	"বিধানকারী ওজন, আকারের উপর নির্ভর করে, প্রায় ৫,০০০ পাউন্ড, তাই আপনি নিশ্চিতভাবে এটি একা পরিচালনা করতে পারেন না!"
"147677"	"এটি পাররি জি-এর র‌্যাপ সহ শ্রেয়া ঘোশল গানটি গেয়েছিলেন এবং ২০১৮ সালের ১৯শে মার্চ মুক্তি পায়।"
"147678"	"নদী থেকে জল অবশেষে বঙ্গোপসাগরে প্রবাহিত হয়।"
"147679"	"গুহা নম্বর তিন হল একটি সাধারণ গুহা ৷"
"147680"	"জল নিরাপদ, সেখানে বনভোজনের স্থান এবং সূর্যাস্ত, সমুদ্রের উপর দিগন্ত একটি ছবি পোস্টারের মতো দেখতে লাগে এবং প্রকৃতি আপনার জন্য একটি শান্ত প্রদর্শণ করে।"
"147681"	"আসলে , আপনি যত তাড়াতাড়ি পৌঁছবেন , ততটাই ভালো সিট বিকল্প আপনার কাছে থাকবে ৷"
"147682"	"প্রাথমিক এবং দ্বিতীয় পর্যায়ের ক্ষত সম্পূর্ণরূপে নিরাময় করতে পারে, তবে তৃতীয় ইয়াওসের ধ্বংসাত্মক পরিবর্তনগুলি মূলত অপ্রতুল।"
"147683"	"খাপে কিছু রুটি , একটা - দুটো সবজি আর কিছু ফল থাকা উচিত ৷"
"147684"	"এছাড়াও, বন আবাসকারী জিন বিরক্ত হতে শুরু করেন, তাই সমস্ত আত্মার রানী বাতারি দুর্গা, সব দেবতার রাজা বাতারা গুরুকে বলেন।"
"147685"	"সংগীতজ্ঞ এবং পন্ডিতদের বিবাদ - বিবাদের সমাপ্তি সওয়াই প্রতাপ সিংহ একত্রিত করেন আর তার নাম ‘ রাধা গোবিন্দ সংগীত सार ’ অথবা সংক্ষেপে ‘ সংগীত সার ’ রাখেন ।"
"147686"	"কিন্তু তার মানে এই যে ভারতীয় প্রহসনে মৌলিকতার অভাব রয়েছে ।"
"147687"	"আপনি অ্যাকাউন্টে যত বেশি টাকা রেখেছেন, তত বেশি সুদ তৈরি হবে।"
"147688"	"লেবেল পণ্য , ওজন , মূল্য , সম্পত্তি ইত্যাদির নাম রয়েছে ৷"
"147689"	"১৯৬০ সাল নাগাদ, অনেক মালয়ন বিদ্যালয়ে এই বৈচিত্র্যটি ভালভাবে পরিচিত ছিল, যার মধ্যে ব্যাডমিন্টন কোর্ট ছিল।"
"147690"	"পটনীটাপ আসা পর্যটকদের জন্য অনেক পর্যটক হাট আছে , জে এন্ডকেটিডিসি অর্থাত্ জম্মু - কাশ্মীর পর্যটন বিকাশ নিগম এই সবের পরিচালনা করে ৷"
"147691"	"স্বর্গীয় শ্রী মোহন কুমার মঙ্গলমের নামে এই প্রতিযোগিতার নামকরণ করা হয়েছে।"
"147692"	"৯১ শতাংশ ভূমি গাছ , পুকুর , ঝিল , ফোয়ারার এবং অন্যান্য সুবিধা পাওয়া গেছে ৷"
"147693"	"এই দ্বীপের পানোরামিক ভূদৃশ্য মন্দিরের সাথে ভগবানত্বের স্বাক্ষরিত করা একটা অনন্য মিশ্রণ।"
"147694"	"জলপ্রপাতের নিচে বন্য দ্রুত গতি হ্রাস করা ১০ বছরেরও বেশি আগে প্রথম উদ্ভাবন ছিল।"
"147695"	"ইন্দিরা গান্ধীর হত্যার ফলে এই দাঙ্গার ভঙ্গিমা শুরু হয়- সেই সময়ে ভারতের প্রধানমন্ত্রী তাঁর শিখ অঙ্গरक्षकরা।"
"147696"	"২০০৭ সালে পন্ডিত অজিত কুমার মিশ্র দ্বারা রাগঞ্জলিকে নতুন শিল্পীদের মঞ্চ প্রদান করার উদ্দেশ্যে , সংগীতের শৃঙ্খলার সমন্বিত করার লক্ষ্যে স্থাপন করেন ৷"
"147697"	"যদিও সাম্প্রতিককালে এখানে অনেক অডিস্কভার পিরামিড পাওয়া গেছে ৷"
"147698"	"ফার্ম সেই ক্ষেত্র বা ভূমির অংশ যা ফসল বা পশু পালনে ব্যবহৃত হয় , যার উপর এক কৃষক অথবা অনেক কৃষকেরা এক সাথে থাকে আর যার সীমা নির্ধারিত হয় ৷"
"147699"	"যদি আপনি ভবিষ্যতে গর্ভনিরোধক মনে করেন , তাহলে এই তথ্য বিশেষ করে আপনার জন্য ৷"
"147700"	"দুর্গটির মিরন সাহেব কা দার্গ ও ছিল যিনি দুর্গটির মালিক ছিলেন এবং প্রতিঘাতে মারা গেছলেন।"
"147701"	"গুগল সিও সম্পর্কিত সাম্প্রতিক পরামর্শ"
"147702"	"কেন্দ্রীভূত এবং সমন্বিত অভিযানের মাধ্যমে এবং স্থানীয় প্রস্তুতকারকদের সঙ্গে অংশীদারিত্বের মাধ্যমে, আমরা দস্তা পরিপূরকতা বৃদ্ধি করব।"
"147703"	"আমার পছন্দের প্লেলিস্ট চালাও"
"147704"	"তাই আপনাকে কল করার আগে বা তাদের পরিদর্শন করার আগে এই সম্পর্কে ভাবতে হবে।"
"147705"	"আগামী বুধবার চার্চে ক্রিসমাস পার্টি মুছে ফেলুন"
